Shinko;Solange;Metairie;426 Wolf St;70002;504-979-9175;solange@shinko.com
Stockham;Jose;New York;128 Bransten Rd;10011;212-675-8570;jose@yahoo.com
Ostrosky;Rozella;Camarillo;17 Morena Blvd;93012;805-832-6163;rozella.ostrosky@ostrosky.com
Gillian;Valentine;San Antonio;775 W 17th St;78204;210-812-9597;valentine_gillian@gmail.com
Rulapaugh;Kati;Abilene;6980 Dorsett Rd;67410;785-463-7829;kati.rulapaugh@hotmail.com
Schemmer;Youlanda;Prineville;2881 Lewis Rd;97754;541-548-8197;youlanda@aol.com
Oldroyd;Dyan;Overland Park;7219 Woodfield Rd;66204;913-413-4604;doldroyd@aol.com
Campain;Roxane;Fairbanks;1048 Main St;99708;907-231-4722;roxane@hotmail.com
Perin;Lavera;Miami;678 3rd Ave;33196;305-606-7291;lperin@perin.org
Ferencz;Erick;Fairbanks;20 S Babcock St;99712;907-741-1044;erick.ferencz@aol.com
Saylors;Fatima;Hopkins;2 Lighthouse Ave;55343;952-768-2416;fsaylors@saylors.org
Briddick;Jina;Boston;38938 Park Blvd;2128;617-399-5124;jina_briddick@briddick.com
Waycott;Kanisha;Los Angeles;5 Tomahawk Dr;90006;323-453-2780;kanisha_waycott@yahoo.com
Bowley;Emerson;Madison;762 S Main St;53711;608-336-7444;emerson.bowley@bowley.org
Malet;Blair;Philadelphia;209 Decker Dr;19132;215-907-9111;bmalet@yahoo.com
Bolognia;Brock;New York;4486 W O St #1;10003;212-402-9216;bbolognia@yahoo.com
Nestle;Lorrie;Tullahoma;39 S 7th St;37388;931-875-6644;lnestle@hotmail.com
Uyetake;Sabra;Columbia;98839 Hawthorne Blvd #6101;29201;803-925-5213;sabra@uyetake.org
Mastella;Marjory;Wayne;71 San Mateo Ave;19087;610-814-5533;mmastella@mastella.com
Klonowski;Karl;Flemington;76 Brooks St #9;8822;908-877-6135;karl_klonowski@yahoo.com
Wenner;Tonette;Westbury;4545 Courthouse Rd;11590;516-968-6051;twenner@aol.com
Monarrez;Amber;Jenkintown;14288 Foster Ave #4121;19046;215-934-8655;amber_monarrez@monarrez.org
Seewald;Shenika;Van Nuys;4 Otis St;91405;818-423-4007;shenika@gmail.com
Ahle;Delmy;Providence;65895 S 16th St;2909;401-458-2547;delmy.ahle@hotmail.com
Juhas;Deeanna;Huntingdon Valley;14302 Pennsylvania Ave;19006;215-211-9589;deeanna_juhas@gmail.com
Pugh;Blondell;Providence;201 Hawk Ct;2904;401-960-8259;bpugh@aol.com
Vanausdal;Jamal;Monroe Township;53075 Sw 152nd Ter #615;8831;732-234-1546;jamal@vanausdal.org
Hollack;Cecily;Austin;59 N Groesbeck Hwy;78731;512-486-3817;cecily@hollack.org
Lindall;Carmelina;Littleton;2664 Lewis Rd;80126;303-724-7371;carmelina_lindall@lindall.com
Yglesias;Maurine;Milwaukee;59 Shady Ln #53;53214;414-748-1374;maurine_yglesias@yglesias.com
Buvens;Tawna;New York;3305 Nabell Ave #679;10009;212-674-9610;tawna@gmail.com
Weight;Penney;Anchorage;18 Fountain St;99515;907-797-9628;penney_weight@aol.com
Morocco;Elly;Erie;7 W 32nd St;16502;814-393-5571;elly_morocco@gmail.com
Eroman;Ilene;Glen Burnie;2853 S Central Expy;21061;410-914-9018;ilene.eroman@hotmail.com
Mondella;Vallie;Boise;74 W College St;83707;208-862-5339;vmondella@mondella.com
Blackwood;Kallie;San Francisco;701 S Harrison Rd;94104;415-315-2761;kallie.blackwood@gmail.com
Abdallah;Johnetta;Chapel Hill;1088 Pinehurst St;27514;919-225-9345;johnetta_abdallah@aol.com
Rhym;Bobbye;San Carlos;30 W 80th St #1995;94070;650-528-5783;brhym@rhym.com
Rhymes;Micaela;Concord;20932 Hedley St;94520;925-647-3298;micaela_rhymes@gmail.com
Hoogland;Tamar;London;2737 Pistorio Rd #9230;43140;740-343-8575;tamar@hotmail.com
Parlato;Moon;Wellsville;74989 Brandon St;14895;585-866-8313;moon@yahoo.com
Reitler;Laurel;Baltimore;6 Kains Ave;21215;410-520-4832;laurel_reitler@reitler.com
Crupi;Delisa;Newark;47565 W Grand Ave;7105;973-354-2040;delisa.crupi@crupi.com
Toelkes;Viva;Chicago;4284 Dorigo Ln;60647;773-446-5569;viva.toelkes@gmail.com
Lipke;Elza;Newark;6794 Lake Dr E;7104;973-927-3447;elza@yahoo.com
Chickering;Devorah;Clovis;31 Douglas Blvd #950;88101;505-975-8559;devorah@hotmail.com
Mulqueen;Timothy;Staten Island;44 W 4th St;10309;718-332-6527;timothy_mulqueen@mulqueen.org
Honeywell;Arlette;Jacksonville;11279 Loytan St;32254;904-775-4480;ahoneywell@honeywell.com
Dickerson;Dominque;Hayward;69 Marquette Ave;94545;510-993-3758;dominque.dickerson@dickerson.org
Isenhower;Lettie;Beachwood;70 W Main St;44122;216-657-7668;lettie_isenhower@yahoo.com
Munns;Myra;Euless;461 Prospect Pl #316;76040;817-914-7518;mmunns@cox.net
Barfield;Stephaine;Gardena;47154 Whipple Ave Nw;90247;310-774-7643;stephaine@barfield.com
Gato;Lai;Evanston;37 Alabama Ave;60201;847-728-7286;lai.gato@gato.org
Emigh;Stephen;Akron;3777 E Richmond St #900;44302;330-537-5358;stephen_emigh@hotmail.com
Shields;Tyra;Philadelphia;3 Fort Worth Ave;19106;215-255-1641;tshields@gmail.com
Wardrip;Tammara;Burlingame;4800 Black Horse Pike;94010;650-803-1936;twardrip@cox.net
Gibes;Cory;San Gabriel;83649 W Belmont Ave;91776;626-572-1096;cory.gibes@gmail.com
Bruschke;Danica;Waco;840 15th Ave;76708;254-782-8569;danica_bruschke@gmail.com
Giguere;Wilda;Anchorage;1747 Calle Amanecer #2;99501;907-870-5536;wilda@cox.net
Benimadho;Elvera;San Jose;99385 Charity St #840;95110;408-703-8505;elvera.benimadho@cox.net
Vanheusen;Carma;San Leandro;68556 Central Hwy;94577;510-503-7169;carma@cox.net
Hochard;Malinda;Indianapolis;55 Riverside Ave;46202;317-722-5066;malinda.hochard@yahoo.com
Fern;Natalie;Rock Springs;7140 University Ave;82901;307-704-8713;natalie.fern@hotmail.com
Centini;Lisha;Mc Lean;64 5th Ave #1153;22102;703-235-3937;lisha@centini.org
Klusman;Arlene;New Orleans;3 Secor Rd;70112;504-710-5840;arlene_klusman@gmail.com
Buemi;Alease;Boulder;4 Webbs Chapel Rd;80303;303-301-4946;alease@buemi.com
Cronauer;Louisa;San Leandro;524 Louisiana Ave Nw;94577;510-828-7047;louisa@cronauer.com
Cetta;Angella;Honolulu;185 Blackstone Bldge;96817;808-892-7943;angella.cetta@hotmail.com
Goldammer;Cyndy;Burnsville;170 Wyoming Ave;55337;952-334-9408;cgoldammer@cox.net
Cork;Rosio;High Point;4 10th St W;27263;336-243-5659;rosio.cork@gmail.com
Korando;Celeste;Lynbrook;7 W Pinhook Rd;11563;516-509-2347;ckorando@hotmail.com
Felger;Twana;Portland;1 Commerce Way;97224;503-939-3153;twana.felger@felger.org
Samu;Estrella;Beloit;64 Lakeview Ave;53511;608-976-7199;estrella@aol.com
Kines;Donte;Worcester;3 Aspen St;1602;508-429-8576;dkines@hotmail.com
Steffensmeier;Tiffiny;Miami;32860 Sierra Rd;33133;305-385-9695;tiffiny_steffensmeier@cox.net
Miceli;Edna;Erie;555 Main St;16502;814-460-2655;emiceli@miceli.org
Kownacki;Sue;Mesquite;2 Se 3rd Ave;75149;972-666-3413;sue@aol.com
Shin;Jesusa;Tullahoma;2239 Shawnee Mission Pky;37388;931-273-8709;jshin@shin.com
Francescon;Rolland;Paterson;2726 Charcot Ave;7501;973-649-2922;rolland@cox.net
Schmierer;Pamella;Homestead;5161 Dorsett Rd;33030;305-420-8970;pamella.schmierer@schmierer.org
Kulzer;Glory;Owings Mills;55892 Jacksonville Rd;21117;410-224-9462;gkulzer@kulzer.org
Palaspas;Shawna;Thousand Oaks;5 N Cleveland Massillon Rd;91362;805-275-3566;shawna_palaspas@palaspas.org
Callaro;Brandon;Honolulu;7 Benton Dr;96819;808-215-6832;brandon_callaro@hotmail.com
Cartan;Scarlet;Albany;9390 S Howell Ave;31701;229-735-3378;scarlet.cartan@yahoo.com
Menter;Oretha;Boston;8 County Center Dr #647;2210;617-418-5043;oretha_menter@yahoo.com
Smith;Ty;Hackensack;4646 Kaahumanu St;7601;201-672-1553;tsmith@aol.com
Rochin;Xuan;San Mateo;2 Monroe St;94403;650-933-5072;xuan@gmail.com
Dilello;Lindsey;Ontario;52777 Leaders Heights Rd;91761;909-639-9887;lindsey.dilello@hotmail.com
Perez;Devora;Oakland;72868 Blackington Ave;94606;510-955-3016;devora_perez@perez.org
Demesa;Herman;Troy;9 Norristown Rd;12180;518-497-2940;hdemesa@cox.net
Papasergi;Rory;Clarks Summit;83 County Road 437 #8581;18411;570-867-7489;rpapasergi@cox.net
Riopelle;Talia;Orange;1 N Harlem Ave #9;7050;973-245-2133;talia_riopelle@aol.com
Shire;Van;Pittstown;90131 J St;8867;908-409-2890;van.shire@shire.com
Lary;Lucina;Cocoa;8597 W National Ave;32922;321-749-4981;lucina_lary@cox.net
Isaacs;Bok;Bronx;6 Gilson St;10468;718-809-3762;bok.isaacs@aol.com
Spickerman;Rolande;Pearl City;65 W Maple Ave;96782;808-315-3077;rolande.spickerman@spickerman.com
Paulas;Howard;Denver;866 34th Ave;80231;303-623-4241;hpaulas@gmail.com
Madarang;Kimbery;Rockaway;798 Lund Farm Way;7866;973-310-1634;kimbery_madarang@cox.net
Manno;Thurman;Absecon;9387 Charcot Ave;8201;609-524-3586;thurman.manno@yahoo.com
Mirafuentes;Becky;Plainfield;30553 Washington Rd;7062;908-877-8409;becky.mirafuentes@mirafuentes.com
Corrington;Beatriz;Middleboro;481 W Lemon St;2346;508-584-4279;beatriz@yahoo.com
Maybury;Marti;Chicago;4 Warehouse Point Rd #7;60638;773-775-4522;marti.maybury@yahoo.com
Gotter;Nieves;Portland;4940 Pulaski Park Dr;97202;503-527-5274;nieves_gotter@gmail.com
Hagele;Leatha;Dallas;627 Walford Ave;75227;214-339-1809;lhagele@cox.net
Klimek;Valentin;Chicago;137 Pioneer Way;60604;312-303-5453;vklimek@klimek.org
Wiklund;Melissa;Findlay;61 13 Stoneridge #835;45840;419-939-3613;melissa@cox.net
Zane;Sheridan;Riverside;2409 Alabama Rd;92501;951-645-3605;sheridan.zane@zane.com
Padilla;Bulah;Waco;8927 Vandever Ave;76707;254-463-4368;bulah_padilla@hotmail.com
Kohnert;Audra;Nashville;134 Lewis Rd;37211;615-406-7854;audra@kohnert.com
Weirather;Daren;Milwaukee;9 N College Ave #3;53216;414-959-2540;dweirather@aol.com
Jillson;Fernanda;Preston;60480 Old Us Highway 51;21655;410-387-5260;fjillson@aol.com
Gellinger;Gearldine;Irving;4 Bloomfield Ave;75061;972-934-6914;gearldine_gellinger@gellinger.com
Kitzman;Chau;Beverly Hills;429 Tiger Ln;90212;310-560-8022;chau@gmail.com
Frey;Theola;Massapequa;54169 N Main St;11758;516-948-5768;theola_frey@frey.com
Haroldson;Cheryl;Atlantic City;92 Main St;8401;609-518-7697;cheryl@haroldson.org
Merced;Laticia;Cincinnati;72 Mannix Dr;45203;513-508-7371;lmerced@gmail.com
Batman;Carissa;Eugene;12270 Caton Center Dr;97401;541-326-4074;carissa.batman@yahoo.com
Craghead;Lezlie;Smithfield;749 W 18th St #45;27577;919-533-3762;lezlie.craghead@craghead.org
Shealy;Ozell;New York;8 Industry Ln;10002;212-332-8435;oshealy@hotmail.com
Parvis;Arminda;Phoenix;1 Huntwood Ave;85017;602-906-9419;arminda@parvis.com
Leto;Reita;Indianapolis;55262 N French Rd;46240;317-234-1135;reita.leto@gmail.com
Luczki;Yolando;Syracuse;422 E 21st St;13214;315-304-4759;yolando@cox.net
Stem;Lizette;Cherry Hill;501 N 19th Ave;8002;856-487-5412;lizette.stem@aol.com
Pawlowicz;Gregoria;Garden City;455 N Main Ave;11530;516-212-1915;gpawlowicz@yahoo.com
Deleo;Carin;Little Rock;1844 Southern Blvd;72202;501-308-1040;cdeleo@deleo.com
Maynerich;Chantell;Saint Paul;2023 Greg St;55101;651-591-2583;chantell@yahoo.com
Yum;Dierdre;Philadelphia;63381 Jenks Ave;19134;215-325-3042;dyum@yahoo.com
Gudroe;Larae;Houma;6651 Municipal Rd;70360;985-890-7262;larae_gudroe@gmail.com
Tolfree;Latrice;Ronkonkoma;81 Norris Ave #525;11779;631-957-7624;latrice.tolfree@hotmail.com
Theodorov;Kerry;Sacramento;6916 W Main St;95827;916-591-3277;kerry.theodorov@gmail.com
Hidvegi;Dorthy;Boise;9635 S Main St;83704;208-649-2373;dhidvegi@yahoo.com
Lungren;Fannie;Round Rock;17 Us Highway 111;78664;512-587-5746;fannie.lungren@yahoo.com
Radde;Evangelina;Philadelphia;992 Civic Center Dr;19123;215-964-3284;evangelina@aol.com
Degroot;Novella;Hilo;303 N Radcliffe St;96720;808-477-4775;novella_degroot@degroot.org
Hoa;Clay;Reno;73 Saint Ann St #86;89502;775-501-8109;choa@hoa.org
Fallick;Jennifer;Wheeling;44 58th St;60090;847-979-9545;jfallick@yahoo.com
Wolfgramm;Irma;Randolph;9745 W Main St;7869;973-545-7355;irma.wolfgramm@hotmail.com
Coody;Eun;Spartanburg;84 Bloomfield Ave;29301;864-256-3620;eun@yahoo.com
Cousey;Sylvia;Hampstead;287 Youngstown Warren Rd;21074;410-209-9545;sylvia_cousey@cousey.org
Wrinkles;Nana;Mount Vernon;6 Van Buren St;10553;914-855-2115;nana@aol.com
Springe;Layla;New York;229 N Forty Driv;10011;212-260-3151;layla.springe@cox.net
Degonia;Joesph;Berkeley;2887 Knowlton St #5435;94710;510-677-9785;joesph_degonia@degonia.org
Boord;Annabelle;Concord;523 Marquette Ave;1742;978-697-6263;annabelle.boord@cox.net
Vinning;Stephaine;San Francisco;3717 Hamann Industrial Pky;94104;415-767-6596;stephaine@cox.net
Sawchuk;Nelida;Paramus;3 State Route 35 S;7652;201-971-1638;nelida@gmail.com
Hiatt;Marguerita;Oakley;82 N Highway 67;94561;925-634-7158;marguerita.hiatt@gmail.com
Cookey;Carmela;Chicago;9 Murfreesboro Rd;60623;773-494-4195;ccookey@cookey.org
Brideau;Junita;Cedar Grove;6 S Broadway St;7009;973-943-3423;jbrideau@aol.com
Varriano;Claribel;Perrysburg;6 Harry L Dr #6327;43551;419-544-4900;claribel_varriano@cox.net
Skursky;Benton;Gardena;47939 Porter Ave;90248;310-579-2907;benton.skursky@aol.com
Skulski;Hillary;Homosassa;9 Wales Rd Ne #914;34448;352-242-2570;hillary.skulski@aol.com
Bayless;Merilyn;Santa Clara;195 13n N;95054;408-758-5015;merilyn_bayless@cox.net
Ennaco;Teri;Hazleton;99 Tank Farm Rd;18201;570-889-5187;tennaco@gmail.com
Lawler;Merlyn;Jersey City;4671 Alemany Blvd;7304;201-588-7810;merlyn_lawler@hotmail.com
Montezuma;Georgene;San Ramon;98 University Dr;94583;925-615-5185;gmontezuma@cox.net
Mconnell;Jettie;Bridgewater;50 E Wacker Dr;8807;908-802-3564;jmconnell@hotmail.com
Latzke;Lemuel;Bohemia;70 Euclid Ave #722;11716;631-748-6479;lemuel.latzke@gmail.com
Knipp;Melodie;Thousand Oaks;326 E Main St #6496;91362;805-690-1682;mknipp@gmail.com
Corbley;Candida;Somerville;406 Main St;8876;908-275-8357;candida_corbley@hotmail.com
Karpin;Karan;Beaverton;3 Elmwood Dr;97005;503-940-8327;karan_karpin@gmail.com
Scheyer;Andra;Salem;9 Church St;97302;503-516-2189;andra@gmail.com
Poullion;Felicidad;Riverton;9939 N 14th St;8077;856-305-9731;fpoullion@poullion.com
Strassner;Belen;Douglasville;5384 Southwyck Blvd;30135;770-507-8791;belen_strassner@aol.com
Melnyk;Gracia;Jacksonville;97 Airport Loop Dr;32216;904-235-3633;gracia@melnyk.com
Hanafan;Jolanda;Bangor;37855 Nolan Rd;4401;207-458-9196;jhanafan@gmail.com
Toyama;Barrett;Kennedale;4252 N Washington Ave #9;76060;817-765-5781;barrett.toyama@toyama.org
Fredicks;Helga;Buffalo;42754 S Ash Ave;14228;716-752-4114;helga_fredicks@yahoo.com
Pinilla;Ashlyn;Opa Locka;703 Beville Rd;33054;305-670-9628;apinilla@cox.net
Agramonte;Fausto;New York;5 Harrison Rd;10038;212-313-1783;fausto_agramonte@yahoo.com
Caiafa;Ronny;Philadelphia;73 Southern Blvd;19103;215-605-7570;ronny.caiafa@caiafa.org
Limmel;Marge;Crestview;189 Village Park Rd;32536;850-430-1663;marge@gmail.com
Waymire;Norah;San Francisco;6 Middlegate Rd #106;94107;415-306-7897;norah.waymire@gmail.com
Baltimore;Aliza;San Jose;1128 Delaware St;95132;408-504-3552;aliza@aol.com
Pelkowski;Mozell;South San Francisco;577 Parade St;94080;650-947-1215;mpelkowski@pelkowski.org
Bitsuie;Viola;Northridge;70 Mechanic St;91325;818-864-4875;viola@gmail.com
Emard;Franklyn;Philadelphia;4379 Highway 116;19103;215-558-8189;femard@emard.com
Konopacki;Willodean;Lafayette;55 Hawthorne Blvd;70506;337-253-8384;willodean_konopacki@konopacki.org
Silvestrini;Beckie;Dearborn;7116 Western Ave;48126;313-533-4884;beckie.silvestrini@silvestrini.com
Gesick;Rebecka;Austin;2026 N Plankinton Ave #3;78754;512-213-8574;rgesick@gesick.org
Blunk;Frederica;Dallas;99586 Main St;75207;214-428-2285;frederica_blunk@gmail.com
Bartolet;Glen;Vashon;8739 Hudson St;98070;206-697-5796;glen_bartolet@hotmail.com
Gochal;Freeman;Coatesville;383 Gunderman Rd #197;19320;610-476-3501;freeman_gochal@aol.com
Meinerding;Vincent;Philadelphia;4441 Point Term Mkt;19143;215-372-1718;vincent.meinerding@hotmail.com
Bevelacqua;Rima;Gardena;2972 Lafayette Ave;90248;310-858-5079;rima@cox.net
Sarbacher;Glendora;Rohnert Park;2140 Diamond Blvd;94928;707-653-8214;gsarbacher@gmail.com
Steier;Avery;Orlando;93 Redmond Rd #492;32803;407-808-9439;avery@cox.net
Lother;Cristy;Escondido;3989 Portage Tr;92025;760-971-4322;cristy@lother.com
Brossart;Nicolette;Westborough;1 Midway Rd;1581;508-837-9230;nicolette_brossart@brossart.com
Modzelewski;Tracey;Conroe;77132 Coon Rapids Blvd Nw;77301;936-264-9294;tracey@hotmail.com
Tegarden;Virgina;Milwaukee;755 Harbor Way;53226;414-214-8697;virgina_tegarden@tegarden.com
Frankel;Tiera;El Monte;87 Sierra Rd;91731;626-636-4117;tfrankel@aol.com
Bergesen;Alaine;Yonkers;7667 S Hulen St #42;10701;914-300-9193;alaine_bergesen@cox.net
Mai;Earleen;Dallas;75684 S Withlapopka Dr #32;75227;214-289-1973;earleen_mai@cox.net
Gobern;Leonida;Biloxi;5 Elmwood Park Blvd;39530;228-235-5615;leonida@gobern.org
Auffrey;Ressie;Miami;23 Palo Alto Sq;33134;305-604-8981;ressie.auffrey@yahoo.com
Mugnolo;Justine;New York;38062 E Main St;10048;212-304-9225;jmugnolo@yahoo.com
Saulter;Eladia;Ramsey;3958 S Dupont Hwy #7;7446;201-474-4924;eladia@saulter.com
Malvin;Chaya;Ann Arbor;560 Civic Center Dr;48103;734-928-5182;chaya@malvin.com
Suffield;Gwenn;Deer Park;3270 Dequindre Rd;11729;631-258-6558;gwenn_suffield@suffield.org
Karpel;Salena;Canton;1 Garfield Ave #7;44707;330-791-8557;skarpel@cox.net
Fishburne;Yoko;New Haven;9122 Carpenter Ave;6511;203-506-4706;yoko@fishburne.com
Moyd;Taryn;Fairfax;48 Lenox St;22030;703-322-4041;taryn.moyd@hotmail.com
Polidori;Katina;Wilmington;5 Little River Tpke;1887;978-626-2978;katina_polidori@aol.com
Plumer;Rickie;Toledo;3 N Groesbeck Hwy;43613;419-693-1334;rickie.plumer@aol.com
Loader;Alex;Tacoma;37 N Elm St #916;98409;253-660-7821;alex@loader.com
Vizarro;Lashon;Roseville;433 Westminster Blvd #590;95661;916-741-7884;lashon@aol.com
Burnard;Lauran;Riverton;66697 Park Pl #3224;82501;307-342-7795;lburnard@burnard.com
Setter;Ceola;Warren;96263 Greenwood Pl;4864;207-627-7565;ceola.setter@setter.org
Rantanen;My;Richboro;8 Mcarthur Ln;18954;215-491-5633;my@hotmail.com
Worlds;Lorrine;Tampa;8 Fair Lawn Ave;33614;813-769-2939;lorrine.worlds@worlds.com
Sturiale;Peggie;El Cajon;9 N 14th St;92020;619-608-1763;peggie@cox.net
Raymo;Marvel;College Station;9 Vanowen St;77840;979-718-8968;mraymo@yahoo.com
Dinos;Daron;Highland Park;18 Waterloo Geneva Rd;60035;847-233-3075;daron_dinos@cox.net
Fritz;An;Atlantic City;506 S Hacienda Dr;8401;609-228-5265;an_fritz@hotmail.com
Stimmel;Portia;Bridgewater;3732 Sherman Ave;8807;908-722-7128;portia.stimmel@aol.com
Aredondo;Rhea;Brooklyn;25657 Live Oak St;11226;718-560-9537;rhea_aredondo@cox.net
Sama;Benedict;Saint Louis;4923 Carey Ave;63104;314-787-1588;bsama@cox.net
Arias;Alyce;Stockton;3196 S Rider Trl;95207;209-317-1801;alyce@arias.org
Berganza;Heike;Little Falls;3 Railway Ave #75;7424;973-936-5095;heike@gmail.com
Dopico;Carey;Indianapolis;87393 E Highland Rd;46220;317-578-2453;carey_dopico@dopico.org
Hellickson;Dottie;Seattle;67 E Chestnut Hill Rd;98133;206-540-6076;dottie@hellickson.org
Hughey;Deandrea;Burlington;33 Lewis Rd #46;27215;336-822-7652;deandrea@yahoo.com
Duenas;Kimberlie;Hays;8100 Jacksonville Rd #7;67601;785-629-8542;kimberlie_duenas@yahoo.com
Staback;Martina;Orlando;7 W Wabansia Ave #227;32822;407-471-6908;martina_staback@staback.com
Fillingim;Skye;Minneapolis;25 Minters Chapel Rd #9;55401;612-508-2655;skye_fillingim@yahoo.com
Farrar;Jade;Columbia;6882 Torresdale Ave;29201;803-352-5387;jade.farrar@yahoo.com
Hamilton;Charlene;Santa Rosa;985 E 6th Ave;95407;707-300-1771;charlene.hamilton@hotmail.com
Acey;Geoffrey;Palatine;7 West Ave #1;60067;847-222-1734;geoffrey@gmail.com
Westerbeck;Stevie;Costa Mesa;26659 N 13th St;92626;949-867-4077;stevie.westerbeck@yahoo.com
Fortino;Pamella;Denver;669 Packerland Dr #1438;80212;303-404-2210;pamella@fortino.com
Haufler;Harrison;New Haven;759 Eldora St;6515;203-801-6193;hhaufler@hotmail.com
Engelberg;Johnna;Bothell;5 S Colorado Blvd #449;98021;425-986-7573;jengelberg@engelberg.org
Cloney;Buddy;Strongsville;944 Gaither Dr;44136;440-989-5826;buddy.cloney@yahoo.com
Riden;Dalene;Plaistow;66552 Malone Rd;3865;603-315-6839;dalene.riden@aol.com
Zurcher;Jerry;Satellite Beach;77 Massillon Rd #822;32937;321-518-5938;jzurcher@zurcher.org
Denooyer;Haydee;New York;25346 New Rd;10016;212-792-8658;hdenooyer@denooyer.org
Cryer;Joseph;Huntington Beach;60 Fillmore Ave;92647;714-584-2237;joseph_cryer@cox.net
Kippley;Deonna;Southfield;57 Haven Ave #90;48075;248-913-4677;deonna_kippley@hotmail.com
Calvaresi;Raymon;Indianapolis;6538 E Pomona St #60;46222;317-825-4724;raymon.calvaresi@gmail.com
Bubash;Alecia;Wichita Falls;6535 Joyce St;76301;940-276-7922;alecia@aol.com
Layous;Ma;North Haven;78112 Morris Ave;6473;203-721-3388;mlayous@hotmail.com
Coyier;Detra;Aberdeen;96950 Hidden Ln;21001;410-739-9277;detra@aol.com
Rodeigues;Terrilyn;New Orleans;3718 S Main St;70130;504-463-4384;terrilyn.rodeigues@cox.net
Lacovara;Salome;Richmond;9677 Commerce Dr;23219;804-550-5097;slacovara@gmail.com
Keetch;Garry;Southampton;5 Green Pond Rd #4;18966;215-979-8776;garry_keetch@hotmail.com
Neither;Matthew;Shakopee;636 Commerce Dr #42;55379;952-651-7597;mneither@yahoo.com
Restrepo;Theodora;Miami;42744 Hamann Industrial Pky #82;33136;305-936-8226;theodora.restrepo@restrepo.com
Kalafatis;Noah;Milwaukee;1950 5th Ave;53209;414-263-5287;noah.kalafatis@aol.com
Sweigard;Carmen;Somerset;61304 N French Rd;8873;732-941-2621;csweigard@sweigard.com
Hengel;Lavonda;Fargo;87 Imperial Ct #79;58102;701-898-2154;lavonda@cox.net
Stoltzman;Junita;Carson City;94 W Dodge Rd;89701;775-638-9963;junita@aol.com
